clouds,wind_speed,hour_of_day,fire,rain,dt,day_of_week,humidity,viirs_point,temperature
34,3.09,19,0,0,2022-12-22 19:00:00,3,24,"viirs_point_34968_23/12/2022_7.81005,17.38627",297.45
39,3.8,20,0,0,2022-12-22 20:00:00,3,24,"viirs_point_34968_23/12/2022_7.81005,17.38627",297.53
46,3.7,21,0,0,2022-12-22 21:00:00,3,26,"viirs_point_34968_23/12/2022_7.81005,17.38627",296.8
52,3.48,22,0,0,2022-12-22 22:00:00,3,27,"viirs_point_34968_23/12/2022_7.81005,17.38627",295.99
61,3.09,23,0,0,2022-12-22 23:00:00,3,28,"viirs_point_34968_23/12/2022_7.81005,17.38627",295.12
68,2.63,0,0,0,2022-12-23 00:00:00,4,30,"viirs_point_34968_23/12/2022_7.81005,17.38627",294.08
100,2.19,1,0,0,2022-12-23 01:00:00,4,32,"viirs_point_34968_23/12/2022_7.81005,17.38627",292.89
88,2.19,2,0,0,2022-12-23 02:00:00,4,35,"viirs_point_34968_23/12/2022_7.81005,17.38627",291.61
91,2.34,3,0,0,2022-12-23 03:00:00,4,36,"viirs_point_34968_23/12/2022_7.81005,17.38627",291.08
88,2.41,4,0,0,2022-12-23 04:00:00,4,36,"viirs_point_34968_23/12/2022_7.81005,17.38627",290.69
91,2.12,5,0,0,2022-12-23 05:00:00,4,36,"viirs_point_34968_23/12/2022_7.81005,17.38627",290.32
87,2.13,6,0,0,2022-12-23 06:00:00,4,35,"viirs_point_34968_23/12/2022_7.81005,17.38627",291.77
98,3.43,7,0,0,2022-12-23 07:00:00,4,26,"viirs_point_34968_23/12/2022_7.81005,17.38627",295.74
99,3.5,8,0,0,2022-12-23 08:00:00,4,20,"viirs_point_34968_23/12/2022_7.81005,17.38627",298.93
94,3.25,9,0,0,2022-12-23 09:00:00,4,17,"viirs_point_34968_23/12/2022_7.81005,17.38627",301.59
85,2.99,10,0,0,2022-12-23 10:00:00,4,15,"viirs_point_34968_23/12/2022_7.81005,17.38627",303.88
72,2.77,11,1,0,2022-12-23 11:00:00,4,14,"viirs_point_34968_23/12/2022_7.81005,17.38627",305.69
80,2.71,12,0,0,2022-12-23 12:00:00,4,13,"viirs_point_34968_23/12/2022_7.81005,17.38627",306.32
5,2.47,13,0,0,2022-12-23 13:00:00,4,13,"viirs_point_34968_23/12/2022_7.81005,17.38627",306.99
9,2.31,14,0,0,2022-12-23 14:00:00,4,13,"viirs_point_34968_23/12/2022_7.81005,17.38627",307.01
22,2.43,15,0,0,2022-12-23 15:00:00,4,13,"viirs_point_34968_23/12/2022_7.81005,17.38627",306.39
42,2.07,16,0,0,2022-12-23 16:00:00,4,16,"viirs_point_34968_23/12/2022_7.81005,17.38627",304.21
53,2.19,17,0,0,2022-12-23 17:00:00,4,19,"viirs_point_34968_23/12/2022_7.81005,17.38627",300.23
58,2.34,18,0,0,2022-12-23 18:00:00,4,22,"viirs_point_34968_23/12/2022_7.81005,17.38627",298.21
39,2.54,19,0,0,2022-12-23 19:00:00,4,24,"viirs_point_34968_23/12/2022_7.81005,17.38627",296.86
23,2.6,20,0,0,2022-12-23 20:00:00,4,26,"viirs_point_34968_23/12/2022_7.81005,17.38627",295.88
17,2.56,21,0,0,2022-12-23 21:00:00,4,27,"viirs_point_34968_23/12/2022_7.81005,17.38627",295.2
13,2.31,22,0,0,2022-12-23 22:00:00,4,29,"viirs_point_34968_23/12/2022_7.81005,17.38627",294.19
