clouds,wind_speed,hour_of_day,fire,rain,dt,day_of_week,humidity,viirs_point,temperature
25,1.94,0,0,0,2022-12-22 00:00:00,3,33,"viirs_point_33314_22/12/2022_7.95897,25.75305",296.67
26,1.44,1,0,0,2022-12-22 01:00:00,3,34,"viirs_point_33314_22/12/2022_7.95897,25.75305",295.97
58,1.51,2,0,0,2022-12-22 02:00:00,3,35,"viirs_point_33314_22/12/2022_7.95897,25.75305",295.61
68,1.72,3,0,0,2022-12-22 03:00:00,3,36,"viirs_point_33314_22/12/2022_7.95897,25.75305",295.08
55,1.92,4,0,0,2022-12-22 04:00:00,3,38,"viirs_point_33314_22/12/2022_7.95897,25.75305",294.45
56,1.71,5,0,0,2022-12-22 05:00:00,3,37,"viirs_point_33314_22/12/2022_7.95897,25.75305",294.61
59,2.41,6,0,0,2022-12-22 06:00:00,3,28,"viirs_point_33314_22/12/2022_7.95897,25.75305",297.78
77,2.9,7,0,0,2022-12-22 07:00:00,3,25,"viirs_point_33314_22/12/2022_7.95897,25.75305",300.35
59,2.97,8,0,0,2022-12-22 08:00:00,3,21,"viirs_point_33314_22/12/2022_7.95897,25.75305",302.45
54,3.08,9,0,0,2022-12-22 09:00:00,3,19,"viirs_point_33314_22/12/2022_7.95897,25.75305",304.34
51,2.74,10,0,0,2022-12-22 10:00:00,3,18,"viirs_point_33314_22/12/2022_7.95897,25.75305",306.03
58,2.3,11,0,0,2022-12-22 11:00:00,3,17,"viirs_point_33314_22/12/2022_7.95897,25.75305",307.27
80,1.81,12,1,0,2022-12-22 12:00:00,3,16,"viirs_point_33314_22/12/2022_7.95897,25.75305",308.0
90,1.61,13,0,0,2022-12-22 13:00:00,3,16,"viirs_point_33314_22/12/2022_7.95897,25.75305",308.03
95,1.71,14,0,0,2022-12-22 14:00:00,3,16,"viirs_point_33314_22/12/2022_7.95897,25.75305",307.3
96,1.88,15,0,0,2022-12-22 15:00:00,3,17,"viirs_point_33314_22/12/2022_7.95897,25.75305",306.23
91,1.8,16,0,0,2022-12-22 16:00:00,3,22,"viirs_point_33314_22/12/2022_7.95897,25.75305",302.44
89,1.9,17,0,0,2022-12-22 17:00:00,3,24,"viirs_point_33314_22/12/2022_7.95897,25.75305",300.73
