clouds,wind_speed,hour_of_day,fire,rain,dt,day_of_week,humidity,viirs_point,temperature
97,1.14,7,0,0,2022-12-12 07:00:00,0,41,"viirs_point_12554_12/12/2022_3.87513,15.94779",298.78
97,1.14,8,0,0,2022-12-12 08:00:00,0,31,"viirs_point_12554_12/12/2022_3.87513,15.94779",302.58
98,1.3,9,0,0,2022-12-12 09:00:00,0,25,"viirs_point_12554_12/12/2022_3.87513,15.94779",305.18
91,1.43,10,0,0,2022-12-12 10:00:00,0,21,"viirs_point_12554_12/12/2022_3.87513,15.94779",307.4
93,1.32,11,1,0,2022-12-12 11:00:00,0,19,"viirs_point_12554_12/12/2022_3.87513,15.94779",308.76
94,1.01,12,0,0,2022-12-12 12:00:00,0,18,"viirs_point_12554_12/12/2022_3.87513,15.94779",309.63
98,0.49,13,0,0,2022-12-12 13:00:00,0,18,"viirs_point_12554_12/12/2022_3.87513,15.94779",309.81
72,0.26,14,0,0,2022-12-12 14:00:00,0,18,"viirs_point_12554_12/12/2022_3.87513,15.94779",309.36
58,0.8,15,0,0,2022-12-12 15:00:00,0,20,"viirs_point_12554_12/12/2022_3.87513,15.94779",308.16
64,1.31,16,0,0,2022-12-12 16:00:00,0,31,"viirs_point_12554_12/12/2022_3.87513,15.94779",304.47
68,1.41,17,0,0,2022-12-12 17:00:00,0,36,"viirs_point_12554_12/12/2022_3.87513,15.94779",300.61
73,1.24,18,0,0,2022-12-12 18:00:00,0,38,"viirs_point_12554_12/12/2022_3.87513,15.94779",299.33
88,1.23,19,0,0,2022-12-12 19:00:00,0,42,"viirs_point_12554_12/12/2022_3.87513,15.94779",298.28
100,1.38,20,0,0,2022-12-12 20:00:00,0,43,"viirs_point_12554_12/12/2022_3.87513,15.94779",297.95
100,1.75,21,0,0,2022-12-12 21:00:00,0,50,"viirs_point_12554_12/12/2022_3.87513,15.94779",297.43
100,1.56,22,0,0,2022-12-12 22:00:00,0,62,"viirs_point_12554_12/12/2022_3.87513,15.94779",296.25
100,1.21,23,0,0,2022-12-12 23:00:00,0,71,"viirs_point_12554_12/12/2022_3.87513,15.94779",295.47
100,1.26,0,0,0,2022-12-13 00:00:00,1,77,"viirs_point_12554_12/12/2022_3.87513,15.94779",294.99
100,1.03,1,0,0,2022-12-13 01:00:00,1,81,"viirs_point_12554_12/12/2022_3.87513,15.94779",294.58
91,0.5,2,0,0,2022-12-13 02:00:00,1,81,"viirs_point_12554_12/12/2022_3.87513,15.94779",293.84
94,0.51,3,0,0,2022-12-13 03:00:00,1,81,"viirs_point_12554_12/12/2022_3.87513,15.94779",293.69
95,1.08,4,0,0,2022-12-13 04:00:00,1,81,"viirs_point_12554_12/12/2022_3.87513,15.94779",293.74
96,0.92,5,0,0,2022-12-13 05:00:00,1,77,"viirs_point_12554_12/12/2022_3.87513,15.94779",294.34
97,0.4,6,0,0,2022-12-13 06:00:00,1,73,"viirs_point_12554_12/12/2022_3.87513,15.94779",295.56
100,0.32,7,0,0,2022-12-13 07:00:00,1,68,"viirs_point_12554_12/12/2022_3.87513,15.94779",296.89
100,0.29,8,0,0,2022-12-13 08:00:00,1,62,"viirs_point_12554_12/12/2022_3.87513,15.94779",298.62
100,0.72,9,0,0,2022-12-13 09:00:00,1,49,"viirs_point_12554_12/12/2022_3.87513,15.94779",302.54
