clouds,wind_speed,hour_of_day,fire,rain,dt,day_of_week,humidity,viirs_point,temperature
0,2.28,22,0,0,2022-12-07 22:00:00,2,18,"viirs_point_5822_08/12/2022_11.19261,-3.4141",299.61
0,2.06,23,0,0,2022-12-07 23:00:00,2,19,"viirs_point_5822_08/12/2022_11.19261,-3.4141",298.83
0,2.09,0,0,0,2022-12-08 00:00:00,3,20,"viirs_point_5822_08/12/2022_11.19261,-3.4141",298.25
0,1.88,1,0,0,2022-12-08 01:00:00,3,21,"viirs_point_5822_08/12/2022_11.19261,-3.4141",297.41
0,1.78,2,0,0,2022-12-08 02:00:00,3,22,"viirs_point_5822_08/12/2022_11.19261,-3.4141",296.89
0,1.71,3,0,0,2022-12-08 03:00:00,3,22,"viirs_point_5822_08/12/2022_11.19261,-3.4141",296.4
0,1.65,4,0,0,2022-12-08 04:00:00,3,23,"viirs_point_5822_08/12/2022_11.19261,-3.4141",295.96
1,1.87,5,0,0,2022-12-08 05:00:00,3,24,"viirs_point_5822_08/12/2022_11.19261,-3.4141",295.45
2,1.77,6,0,0,2022-12-08 06:00:00,3,24,"viirs_point_5822_08/12/2022_11.19261,-3.4141",295.08
4,1.8,7,0,0,2022-12-08 07:00:00,3,25,"viirs_point_5822_08/12/2022_11.19261,-3.4141",295.59
14,2.34,8,0,0,2022-12-08 08:00:00,3,21,"viirs_point_5822_08/12/2022_11.19261,-3.4141",298.76
13,2.98,9,0,0,2022-12-08 09:00:00,3,17,"viirs_point_5822_08/12/2022_11.19261,-3.4141",301.97
10,3.63,10,0,0,2022-12-08 10:00:00,3,14,"viirs_point_5822_08/12/2022_11.19261,-3.4141",304.78
8,4.02,11,0,0,2022-12-08 11:00:00,3,13,"viirs_point_5822_08/12/2022_11.19261,-3.4141",306.83
3,3.79,12,0,0,2022-12-08 12:00:00,3,12,"viirs_point_5822_08/12/2022_11.19261,-3.4141",308.14
0,3.81,13,1,0,2022-12-08 13:00:00,3,11,"viirs_point_5822_08/12/2022_11.19261,-3.4141",309.02
1,3.88,14,0,0,2022-12-08 14:00:00,3,11,"viirs_point_5822_08/12/2022_11.19261,-3.4141",309.43
1,3.76,15,0,0,2022-12-08 15:00:00,3,11,"viirs_point_5822_08/12/2022_11.19261,-3.4141",309.43
2,3.6,16,0,0,2022-12-08 16:00:00,3,11,"viirs_point_5822_08/12/2022_11.19261,-3.4141",309.01
2,2.8,17,0,0,2022-12-08 17:00:00,3,12,"viirs_point_5822_08/12/2022_11.19261,-3.4141",307.74
2,2.01,18,0,0,2022-12-08 18:00:00,3,15,"viirs_point_5822_08/12/2022_11.19261,-3.4141",303.89
4,2.14,19,0,0,2022-12-08 19:00:00,3,18,"viirs_point_5822_08/12/2022_11.19261,-3.4141",302.39
4,2.28,20,0,0,2022-12-08 20:00:00,3,19,"viirs_point_5822_08/12/2022_11.19261,-3.4141",301.43
3,2.58,21,0,0,2022-12-08 21:00:00,3,20,"viirs_point_5822_08/12/2022_11.19261,-3.4141",300.54
2,2.33,22,0,0,2022-12-08 22:00:00,3,22,"viirs_point_5822_08/12/2022_11.19261,-3.4141",299.5
