clouds,wind_speed,hour_of_day,fire,rain,dt,day_of_week,humidity,viirs_point,temperature
23,1.96,7,0,0,2022-12-11 07:00:00,6,23,"viirs_point_11577_11/12/2022_7.64609,8.28641",298.21
19,2.39,8,0,0,2022-12-11 08:00:00,6,18,"viirs_point_11577_11/12/2022_7.64609,8.28641",301.36
36,2.4,9,0,0,2022-12-11 09:00:00,6,15,"viirs_point_11577_11/12/2022_7.64609,8.28641",304.08
52,2.34,10,0,0,2022-12-11 10:00:00,6,13,"viirs_point_11577_11/12/2022_7.64609,8.28641",306.23
62,2.4,11,0,0,2022-12-11 11:00:00,6,12,"viirs_point_11577_11/12/2022_7.64609,8.28641",307.96
68,2.48,12,0,0,2022-12-11 12:00:00,6,12,"viirs_point_11577_11/12/2022_7.64609,8.28641",309.06
100,2.44,13,0,0,2022-12-11 13:00:00,6,11,"viirs_point_11577_11/12/2022_7.64609,8.28641",309.88
100,2.12,14,1,0,2022-12-11 14:00:00,6,11,"viirs_point_11577_11/12/2022_7.64609,8.28641",310.02
100,1.92,15,0,0,2022-12-11 15:00:00,6,12,"viirs_point_11577_11/12/2022_7.64609,8.28641",309.67
100,1.42,16,0,0,2022-12-11 16:00:00,6,14,"viirs_point_11577_11/12/2022_7.64609,8.28641",308.55
99,0.83,17,0,0,2022-12-11 17:00:00,6,17,"viirs_point_11577_11/12/2022_7.64609,8.28641",304.36
95,0.48,18,0,0,2022-12-11 18:00:00,6,18,"viirs_point_11577_11/12/2022_7.64609,8.28641",302.51
26,0.68,19,0,0,2022-12-11 19:00:00,6,19,"viirs_point_11577_11/12/2022_7.64609,8.28641",301.49
100,0.78,20,0,0,2022-12-11 20:00:00,6,19,"viirs_point_11577_11/12/2022_7.64609,8.28641",300.59
100,0.81,21,0,0,2022-12-11 21:00:00,6,20,"viirs_point_11577_11/12/2022_7.64609,8.28641",299.78
100,0.69,22,0,0,2022-12-11 22:00:00,6,21,"viirs_point_11577_11/12/2022_7.64609,8.28641",299.2
94,0.7,23,0,0,2022-12-11 23:00:00,6,22,"viirs_point_11577_11/12/2022_7.64609,8.28641",298.57
80,1.31,0,0,0,2022-12-12 00:00:00,0,23,"viirs_point_11577_11/12/2022_7.64609,8.28641",298.02
8,1.3,1,0,0,2022-12-12 01:00:00,0,23,"viirs_point_11577_11/12/2022_7.64609,8.28641",297.4
9,1.29,2,0,0,2022-12-12 02:00:00,0,24,"viirs_point_11577_11/12/2022_7.64609,8.28641",296.62
41,1.93,3,0,0,2022-12-12 03:00:00,0,25,"viirs_point_11577_11/12/2022_7.64609,8.28641",295.89
35,2.23,4,0,0,2022-12-12 04:00:00,0,27,"viirs_point_11577_11/12/2022_7.64609,8.28641",295.46
30,1.81,5,0,0,2022-12-12 05:00:00,0,28,"viirs_point_11577_11/12/2022_7.64609,8.28641",294.9
