clouds,wind_speed,hour_of_day,fire,rain,dt,day_of_week,humidity,viirs_point,temperature
16,3.49,3,0,0,2022-12-21 03:00:00,2,32,"viirs_point_32126_21/12/2022_9.98027,27.53025",293.85
15,3.77,4,0,0,2022-12-21 04:00:00,2,33,"viirs_point_32126_21/12/2022_9.98027,27.53025",293.68
14,3.71,5,0,0,2022-12-21 05:00:00,2,34,"viirs_point_32126_21/12/2022_9.98027,27.53025",294.1
28,5.02,6,0,0,2022-12-21 06:00:00,2,29,"viirs_point_32126_21/12/2022_9.98027,27.53025",297.11
100,5.38,7,0,0,2022-12-21 07:00:00,2,24,"viirs_point_32126_21/12/2022_9.98027,27.53025",300.34
98,5.05,8,0,0,2022-12-21 08:00:00,2,20,"viirs_point_32126_21/12/2022_9.98027,27.53025",303.26
93,4.39,9,0,0,2022-12-21 09:00:00,2,17,"viirs_point_32126_21/12/2022_9.98027,27.53025",305.52
89,3.66,10,0,0,2022-12-21 10:00:00,2,15,"viirs_point_32126_21/12/2022_9.98027,27.53025",307.08
74,2.85,11,0,0,2022-12-21 11:00:00,2,15,"viirs_point_32126_21/12/2022_9.98027,27.53025",308.04
89,1.2,12,1,0,2022-12-21 12:00:00,2,15,"viirs_point_32126_21/12/2022_9.98027,27.53025",307.9
99,1.3,13,0,0,2022-12-21 13:00:00,2,14,"viirs_point_32126_21/12/2022_9.98027,27.53025",308.01
99,1.34,14,0,0,2022-12-21 14:00:00,2,14,"viirs_point_32126_21/12/2022_9.98027,27.53025",307.82
100,1.22,15,0,0,2022-12-21 15:00:00,2,16,"viirs_point_32126_21/12/2022_9.98027,27.53025",306.74
98,1.46,16,0,0,2022-12-21 16:00:00,2,18,"viirs_point_32126_21/12/2022_9.98027,27.53025",303.23
99,2.06,17,0,0,2022-12-21 17:00:00,2,20,"viirs_point_32126_21/12/2022_9.98027,27.53025",301.52
96,2.49,18,0,0,2022-12-21 18:00:00,2,20,"viirs_point_32126_21/12/2022_9.98027,27.53025",300.25
96,2.82,19,0,0,2022-12-21 19:00:00,2,23,"viirs_point_32126_21/12/2022_9.98027,27.53025",299.12
91,2.95,20,0,0,2022-12-21 20:00:00,2,24,"viirs_point_32126_21/12/2022_9.98027,27.53025",298.21
