clouds,wind_speed,hour_of_day,fire,rain,dt,day_of_week,humidity,viirs_point,temperature
7,2.28,19,0,0,2022-12-18 19:00:00,6,18,"viirs_point_28478_19/12/2022_9.99298,3.90991",299.56
41,2.04,20,0,0,2022-12-18 20:00:00,6,19,"viirs_point_28478_19/12/2022_9.99298,3.90991",298.6
29,1.69,21,0,0,2022-12-18 21:00:00,6,20,"viirs_point_28478_19/12/2022_9.99298,3.90991",297.85
35,1.93,22,0,0,2022-12-18 22:00:00,6,21,"viirs_point_28478_19/12/2022_9.99298,3.90991",297.16
29,2.02,23,0,0,2022-12-18 23:00:00,6,23,"viirs_point_28478_19/12/2022_9.99298,3.90991",296.26
25,2.07,0,0,0,2022-12-19 00:00:00,0,23,"viirs_point_28478_19/12/2022_9.99298,3.90991",295.7
5,2.21,1,0,0,2022-12-19 01:00:00,0,24,"viirs_point_28478_19/12/2022_9.99298,3.90991",295.16
5,2.29,2,0,0,2022-12-19 02:00:00,0,24,"viirs_point_28478_19/12/2022_9.99298,3.90991",294.56
13,2.19,3,0,0,2022-12-19 03:00:00,0,25,"viirs_point_28478_19/12/2022_9.99298,3.90991",293.62
28,2.04,4,0,0,2022-12-19 04:00:00,0,26,"viirs_point_28478_19/12/2022_9.99298,3.90991",293.15
24,2.14,5,0,0,2022-12-19 05:00:00,0,27,"viirs_point_28478_19/12/2022_9.99298,3.90991",292.65
21,2.0,6,0,0,2022-12-19 06:00:00,0,29,"viirs_point_28478_19/12/2022_9.99298,3.90991",292.2
3,1.73,7,0,0,2022-12-19 07:00:00,0,28,"viirs_point_28478_19/12/2022_9.99298,3.90991",293.9
1,3.0,8,0,0,2022-12-19 08:00:00,0,21,"viirs_point_28478_19/12/2022_9.99298,3.90991",297.58
1,3.59,9,0,0,2022-12-19 09:00:00,0,17,"viirs_point_28478_19/12/2022_9.99298,3.90991",300.56
4,3.69,10,0,0,2022-12-19 10:00:00,0,14,"viirs_point_28478_19/12/2022_9.99298,3.90991",302.86
3,3.52,11,0,0,2022-12-19 11:00:00,0,12,"viirs_point_28478_19/12/2022_9.99298,3.90991",304.7
11,3.59,12,0,0,2022-12-19 12:00:00,0,11,"viirs_point_28478_19/12/2022_9.99298,3.90991",305.93
0,3.45,13,1,0,2022-12-19 13:00:00,0,10,"viirs_point_28478_19/12/2022_9.99298,3.90991",306.71
0,3.04,14,0,0,2022-12-19 14:00:00,0,10,"viirs_point_28478_19/12/2022_9.99298,3.90991",307.11
2,2.98,15,0,0,2022-12-19 15:00:00,0,10,"viirs_point_28478_19/12/2022_9.99298,3.90991",307.04
18,3.11,16,0,0,2022-12-19 16:00:00,0,10,"viirs_point_28478_19/12/2022_9.99298,3.90991",306.34
15,2.3,17,0,0,2022-12-19 17:00:00,0,13,"viirs_point_28478_19/12/2022_9.99298,3.90991",303.85
30,2.13,18,0,0,2022-12-19 18:00:00,0,15,"viirs_point_28478_19/12/2022_9.99298,3.90991",300.66
6,1.93,19,0,0,2022-12-19 19:00:00,0,15,"viirs_point_28478_19/12/2022_9.99298,3.90991",299.8
5,1.76,20,0,0,2022-12-19 20:00:00,0,15,"viirs_point_28478_19/12/2022_9.99298,3.90991",299.3
15,2.27,21,0,0,2022-12-19 21:00:00,0,15,"viirs_point_28478_19/12/2022_9.99298,3.90991",298.64
35,2.48,22,0,0,2022-12-19 22:00:00,0,16,"viirs_point_28478_19/12/2022_9.99298,3.90991",297.78
47,2.44,23,0,0,2022-12-19 23:00:00,0,17,"viirs_point_28478_19/12/2022_9.99298,3.90991",296.81
54,2.21,0,0,0,2022-12-20 00:00:00,1,18,"viirs_point_28478_19/12/2022_9.99298,3.90991",295.92
76,2.09,1,0,0,2022-12-20 01:00:00,1,19,"viirs_point_28478_19/12/2022_9.99298,3.90991",295.19
50,2.18,2,0,0,2022-12-20 02:00:00,1,20,"viirs_point_28478_19/12/2022_9.99298,3.90991",294.26
49,2.06,3,0,0,2022-12-20 03:00:00,1,22,"viirs_point_28478_19/12/2022_9.99298,3.90991",293.69
50,2.04,4,0,0,2022-12-20 04:00:00,1,23,"viirs_point_28478_19/12/2022_9.99298,3.90991",293.3
