clouds,wind_speed,hour_of_day,fire,rain,dt,day_of_week,humidity,viirs_point,temperature
0,1.11,5,0,0,2022-12-26 05:00:00,0,17,"viirs_point_39483_26/12/2022_29.87829,72.82513",289.94
5,1.38,6,0,0,2022-12-26 06:00:00,0,14,"viirs_point_39483_26/12/2022_29.87829,72.82513",291.79
1,1.28,7,0,0,2022-12-26 07:00:00,0,13,"viirs_point_39483_26/12/2022_29.87829,72.82513",293.26
13,1.95,8,0,0,2022-12-26 08:00:00,0,13,"viirs_point_39483_26/12/2022_29.87829,72.82513",294.31
3,1.84,9,1,0,2022-12-26 09:00:00,0,12,"viirs_point_39483_26/12/2022_29.87829,72.82513",294.96
3,1.93,10,0,0,2022-12-26 10:00:00,0,12,"viirs_point_39483_26/12/2022_29.87829,72.82513",295.36
4,1.84,11,0,0,2022-12-26 11:00:00,0,13,"viirs_point_39483_26/12/2022_29.87829,72.82513",295.06
3,1.02,12,0,0,2022-12-26 12:00:00,0,17,"viirs_point_39483_26/12/2022_29.87829,72.82513",291.31
6,0.9,13,0,0,2022-12-26 13:00:00,0,19,"viirs_point_39483_26/12/2022_29.87829,72.82513",289.56
7,1.3,14,0,0,2022-12-26 14:00:00,0,20,"viirs_point_39483_26/12/2022_29.87829,72.82513",288.86
