clouds,wind_speed,hour_of_day,fire,rain,dt,day_of_week,humidity,viirs_point,temperature
56,5.29,17,0,0.0,2022-12-06 17:00:00,1,57,"viirs_point_3618_07/12/2022_-18.05209,123.70459",300.49
22,4.84,18,0,0.0,2022-12-06 18:00:00,1,61,"viirs_point_3618_07/12/2022_-18.05209,123.70459",299.49
8,4.69,19,0,0.0,2022-12-06 19:00:00,1,63,"viirs_point_3618_07/12/2022_-18.05209,123.70459",298.49
8,4.31,20,0,0.0,2022-12-06 20:00:00,1,65,"viirs_point_3618_07/12/2022_-18.05209,123.70459",298.49
8,4.02,21,0,0.0,2022-12-06 21:00:00,1,66,"viirs_point_3618_07/12/2022_-18.05209,123.70459",297.49
10,4.38,22,0,0.0,2022-12-06 22:00:00,1,63,"viirs_point_3618_07/12/2022_-18.05209,123.70459",297.49
10,2.91,23,0,0.0,2022-12-06 23:00:00,1,52,"viirs_point_3618_07/12/2022_-18.05209,123.70459",301.49
27,1.3,0,0,0.0,2022-12-07 00:00:00,2,41,"viirs_point_3618_07/12/2022_-18.05209,123.70459",303.49
39,1.54,1,0,0.0,2022-12-07 01:00:00,2,34,"viirs_point_3618_07/12/2022_-18.05209,123.70459",305.49
63,1.82,2,0,0.0,2022-12-07 02:00:00,2,28,"viirs_point_3618_07/12/2022_-18.05209,123.70459",308.49
76,1.81,3,0,0.0,2022-12-07 03:00:00,2,23,"viirs_point_3618_07/12/2022_-18.05209,123.70459",309.49
82,2.0,4,0,0.0,2022-12-07 04:00:00,2,20,"viirs_point_3618_07/12/2022_-18.05209,123.70459",310.49
85,2.63,5,0,0.0,2022-12-07 05:00:00,2,17,"viirs_point_3618_07/12/2022_-18.05209,123.70459",311.49
61,3.0,6,1,0.0,2022-12-07 06:00:00,2,17,"viirs_point_3618_07/12/2022_-18.05209,123.70459",312.49
7,4.4,7,0,0.0,2022-12-07 07:00:00,2,18,"viirs_point_3618_07/12/2022_-18.05209,123.70459",312.49
8,4.87,8,0,0.0,2022-12-07 08:00:00,2,21,"viirs_point_3618_07/12/2022_-18.05209,123.70459",311.49
7,4.66,9,0,0.0,2022-12-07 09:00:00,2,22,"viirs_point_3618_07/12/2022_-18.05209,123.70459",309.49
6,5.58,10,0,0.0,2022-12-07 10:00:00,2,27,"viirs_point_3618_07/12/2022_-18.05209,123.70459",307.49
12,5.74,11,0,0.0,2022-12-07 11:00:00,2,29,"viirs_point_3618_07/12/2022_-18.05209,123.70459",305.49
6,4.6,12,0,0.0,2022-12-07 12:00:00,2,35,"viirs_point_3618_07/12/2022_-18.05209,123.70459",303.49
6,5.85,13,0,0.0,2022-12-07 13:00:00,2,40,"viirs_point_3618_07/12/2022_-18.05209,123.70459",303.49
20,5.75,14,0,0.1,2022-12-07 14:00:00,2,44,"viirs_point_3618_07/12/2022_-18.05209,123.70459",303.49
17,4.78,15,0,0.0,2022-12-07 15:00:00,2,48,"viirs_point_3618_07/12/2022_-18.05209,123.70459",302.49
25,5.11,16,0,0.0,2022-12-07 16:00:00,2,50,"viirs_point_3618_07/12/2022_-18.05209,123.70459",301.49
23,4.77,17,0,0.0,2022-12-07 17:00:00,2,53,"viirs_point_3618_07/12/2022_-18.05209,123.70459",300.49
8,3.84,18,0,0.0,2022-12-07 18:00:00,2,55,"viirs_point_3618_07/12/2022_-18.05209,123.70459",299.49
10,3.45,19,0,0.0,2022-12-07 19:00:00,2,57,"viirs_point_3618_07/12/2022_-18.05209,123.70459",299.49
11,3.64,20,0,0.0,2022-12-07 20:00:00,2,59,"viirs_point_3618_07/12/2022_-18.05209,123.70459",299.49
11,3.33,21,0,0.0,2022-12-07 21:00:00,2,61,"viirs_point_3618_07/12/2022_-18.05209,123.70459",298.49
11,3.48,22,0,0.0,2022-12-07 22:00:00,2,59,"viirs_point_3618_07/12/2022_-18.05209,123.70459",298.49
