clouds,wind_speed,hour_of_day,fire,rain,dt,day_of_week,humidity,viirs_point,temperature
12,1.99,2,0,0,2022-12-12 02:00:00,0,26,"viirs_point_12632_12/12/2022_6.48163,28.28017",296.12
11,1.98,3,0,0,2022-12-12 03:00:00,0,25,"viirs_point_12632_12/12/2022_6.48163,28.28017",295.76
11,1.22,4,0,0,2022-12-12 04:00:00,0,26,"viirs_point_12632_12/12/2022_6.48163,28.28017",295.12
10,0.5,5,0,0,2022-12-12 05:00:00,0,25,"viirs_point_12632_12/12/2022_6.48163,28.28017",296.57
9,1.97,6,0,0,2022-12-12 06:00:00,0,19,"viirs_point_12632_12/12/2022_6.48163,28.28017",300.17
0,2.55,7,0,0,2022-12-12 07:00:00,0,16,"viirs_point_12632_12/12/2022_6.48163,28.28017",303.18
0,2.8,8,0,0,2022-12-12 08:00:00,0,14,"viirs_point_12632_12/12/2022_6.48163,28.28017",305.82
9,2.95,9,0,0,2022-12-12 09:00:00,0,15,"viirs_point_12632_12/12/2022_6.48163,28.28017",307.5
12,2.95,10,0,0,2022-12-12 10:00:00,0,15,"viirs_point_12632_12/12/2022_6.48163,28.28017",308.83
4,2.82,11,1,0,2022-12-12 11:00:00,0,15,"viirs_point_12632_12/12/2022_6.48163,28.28017",309.86
4,2.87,12,0,0,2022-12-12 12:00:00,0,15,"viirs_point_12632_12/12/2022_6.48163,28.28017",310.07
6,2.98,13,0,0,2022-12-12 13:00:00,0,16,"viirs_point_12632_12/12/2022_6.48163,28.28017",309.83
6,3.11,14,0,0,2022-12-12 14:00:00,0,17,"viirs_point_12632_12/12/2022_6.48163,28.28017",309.3
6,2.99,15,0,0,2022-12-12 15:00:00,0,19,"viirs_point_12632_12/12/2022_6.48163,28.28017",308.17
7,2.81,16,0,0,2022-12-12 16:00:00,0,24,"viirs_point_12632_12/12/2022_6.48163,28.28017",304.55
6,2.61,17,0,0,2022-12-12 17:00:00,0,27,"viirs_point_12632_12/12/2022_6.48163,28.28017",302.46
