clouds,wind_speed,hour_of_day,fire,rain,dt,day_of_week,humidity,viirs_point,temperature
77,2.66,22,0,0,2022-12-04 22:00:00,6,26,"viirs_point_1080_05/12/2022_10.02858,20.41724",298.98
71,2.5,23,0,0,2022-12-04 23:00:00,6,27,"viirs_point_1080_05/12/2022_10.02858,20.41724",298.3
62,2.14,0,0,0,2022-12-05 00:00:00,0,28,"viirs_point_1080_05/12/2022_10.02858,20.41724",297.55
45,2.13,1,0,0,2022-12-05 01:00:00,0,30,"viirs_point_1080_05/12/2022_10.02858,20.41724",296.92
29,2.14,2,0,0,2022-12-05 02:00:00,0,31,"viirs_point_1080_05/12/2022_10.02858,20.41724",296.31
32,2.07,3,0,0,2022-12-05 03:00:00,0,31,"viirs_point_1080_05/12/2022_10.02858,20.41724",295.67
5,2.21,4,0,0,2022-12-05 04:00:00,0,31,"viirs_point_1080_05/12/2022_10.02858,20.41724",295.23
4,2.23,5,0,0,2022-12-05 05:00:00,0,31,"viirs_point_1080_05/12/2022_10.02858,20.41724",294.94
3,3.1,6,0,0,2022-12-05 06:00:00,0,27,"viirs_point_1080_05/12/2022_10.02858,20.41724",297.38
0,4.58,7,0,0,2022-12-05 07:00:00,0,22,"viirs_point_1080_05/12/2022_10.02858,20.41724",300.46
0,4.74,8,0,0,2022-12-05 08:00:00,0,18,"viirs_point_1080_05/12/2022_10.02858,20.41724",303.56
59,4.68,9,0,0,2022-12-05 09:00:00,0,16,"viirs_point_1080_05/12/2022_10.02858,20.41724",305.96
46,4.43,10,0,0,2022-12-05 10:00:00,0,15,"viirs_point_1080_05/12/2022_10.02858,20.41724",307.75
37,4.1,11,0,0,2022-12-05 11:00:00,0,14,"viirs_point_1080_05/12/2022_10.02858,20.41724",308.86
31,3.76,12,1,0,2022-12-05 12:00:00,0,14,"viirs_point_1080_05/12/2022_10.02858,20.41724",309.53
2,3.55,13,0,0,2022-12-05 13:00:00,0,14,"viirs_point_1080_05/12/2022_10.02858,20.41724",309.68
2,3.41,14,0,0,2022-12-05 14:00:00,0,14,"viirs_point_1080_05/12/2022_10.02858,20.41724",309.41
16,3.29,15,0,0,2022-12-05 15:00:00,0,15,"viirs_point_1080_05/12/2022_10.02858,20.41724",308.55
10,2.24,16,0,0,2022-12-05 16:00:00,0,18,"viirs_point_1080_05/12/2022_10.02858,20.41724",304.98
12,2.2,17,0,0,2022-12-05 17:00:00,0,20,"viirs_point_1080_05/12/2022_10.02858,20.41724",302.75
8,2.31,18,0,0,2022-12-05 18:00:00,0,22,"viirs_point_1080_05/12/2022_10.02858,20.41724",301.49
84,2.33,19,0,0,2022-12-05 19:00:00,0,23,"viirs_point_1080_05/12/2022_10.02858,20.41724",300.54
92,2.38,20,0,0,2022-12-05 20:00:00,0,24,"viirs_point_1080_05/12/2022_10.02858,20.41724",299.71
95,2.49,21,0,0,2022-12-05 21:00:00,0,25,"viirs_point_1080_05/12/2022_10.02858,20.41724",299.07
96,2.86,22,0,0,2022-12-05 22:00:00,0,25,"viirs_point_1080_05/12/2022_10.02858,20.41724",298.7
97,2.45,23,0,0,2022-12-05 23:00:00,0,25,"viirs_point_1080_05/12/2022_10.02858,20.41724",297.9
92,2.43,0,0,0,2022-12-06 00:00:00,1,26,"viirs_point_1080_05/12/2022_10.02858,20.41724",296.91
54,2.29,1,0,0,2022-12-06 01:00:00,1,28,"viirs_point_1080_05/12/2022_10.02858,20.41724",296.34
60,2.24,2,0,0,2022-12-06 02:00:00,1,28,"viirs_point_1080_05/12/2022_10.02858,20.41724",295.77
51,2.18,3,0,0,2022-12-06 03:00:00,1,28,"viirs_point_1080_05/12/2022_10.02858,20.41724",295.17
59,2.38,4,0,0,2022-12-06 04:00:00,1,29,"viirs_point_1080_05/12/2022_10.02858,20.41724",294.67
55,2.87,5,0,0,2022-12-06 05:00:00,1,28,"viirs_point_1080_05/12/2022_10.02858,20.41724",294.66
27,3.52,6,0,0,2022-12-06 06:00:00,1,26,"viirs_point_1080_05/12/2022_10.02858,20.41724",296.62
