viirs_point,dt,temperature,humidity,wind_speed,rain,clouds,weather_main,weather_description,fire
"viirs_point_336482_2023-05-15 00:00:00_55.70668,-109.18582",1684004400,298.99,26,4.57,0,94,Clouds,overcast clouds,0
"viirs_point_336482_2023-05-15 00:00:00_55.70668,-109.18582",1684008000,299.59,25,4.61,0,68,Clouds,broken clouds,0
"viirs_point_336482_2023-05-15 00:00:00_55.70668,-109.18582",1684011600,299.84,25,4.91,0,70,Clouds,broken clouds,0
"viirs_point_336482_2023-05-15 00:00:00_55.70668,-109.18582",1684015200,296.99,25,4.9,0,74,Clouds,broken clouds,0
"viirs_point_336482_2023-05-15 00:00:00_55.70668,-109.18582",1684018800,299.83,25,4.79,0,72,Clouds,broken clouds,0
"viirs_point_336482_2023-05-15 00:00:00_55.70668,-109.18582",1684022400,299.4,28,4.85,0,71,Clouds,broken clouds,0
"viirs_point_336482_2023-05-15 00:00:00_55.70668,-109.18582",1684026000,297.64,33,4.76,0,94,Clouds,overcast clouds,0
"viirs_point_336482_2023-05-15 00:00:00_55.70668,-109.18582",1684029600,295.43,38,4.68,0,97,Clouds,overcast clouds,0
"viirs_point_336482_2023-05-15 00:00:00_55.70668,-109.18582",1684033200,293.5,42,4.47,0,96,Clouds,overcast clouds,0
"viirs_point_336482_2023-05-15 00:00:00_55.70668,-109.18582",1684036800,292.07,46,3.97,0,97,Clouds,overcast clouds,0
"viirs_point_336482_2023-05-15 00:00:00_55.70668,-109.18582",1684040400,291.15,50,3.81,0,97,Clouds,overcast clouds,0
"viirs_point_336482_2023-05-15 00:00:00_55.70668,-109.18582",1684044000,291.02,52,3.75,0,98,Clouds,overcast clouds,0
"viirs_point_336482_2023-05-15 00:00:00_55.70668,-109.18582",1684047600,290.86,52,4.14,0,100,Clouds,overcast clouds,0
"viirs_point_336482_2023-05-15 00:00:00_55.70668,-109.18582",1684051200,290.92,52,4.4,0,100,Clouds,overcast clouds,0
"viirs_point_336482_2023-05-15 00:00:00_55.70668,-109.18582",1684054800,290.16,54,4.35,0,100,Clouds,overcast clouds,0
"viirs_point_336482_2023-05-15 00:00:00_55.70668,-109.18582",1684058400,289.52,56,4.4,0,100,Clouds,overcast clouds,0
"viirs_point_336482_2023-05-15 00:00:00_55.70668,-109.18582",1684062000,289.08,57,4.23,0,100,Clouds,overcast clouds,0
"viirs_point_336482_2023-05-15 00:00:00_55.70668,-109.18582",1684065600,288.8,57,3.94,0,100,Clouds,overcast clouds,0
"viirs_point_336482_2023-05-15 00:00:00_55.70668,-109.18582",1684069200,288.99,54,3.83,0,100,Clouds,overcast clouds,0
"viirs_point_336482_2023-05-15 00:00:00_55.70668,-109.18582",1684072800,292.1,48,4.03,0,98,Clouds,overcast clouds,0
"viirs_point_336482_2023-05-15 00:00:00_55.70668,-109.18582",1684076400,289.99,40,4.61,0,99,Clouds,overcast clouds,0
"viirs_point_336482_2023-05-15 00:00:00_55.70668,-109.18582",1684080000,296.76,34,4.85,0,97,Clouds,overcast clouds,0
"viirs_point_336482_2023-05-15 00:00:00_55.70668,-109.18582",1684083600,293.99,29,4.91,0,81,Clouds,broken clouds,0
"viirs_point_336482_2023-05-15 00:00:00_55.70668,-109.18582",1684087200,296.99,27,4.73,0,69,Clouds,broken clouds,0
