viirs_point,dt,temperature,humidity,wind_speed,rain,clouds,weather_main,weather_description,fire
"viirs_point_657445_2023-08-15 00:00:00_-13.66685,22.07941",1691931600,304.08,12,5.43,0,0,Clear,clear sky,0
"viirs_point_657445_2023-08-15 00:00:00_-13.66685,22.07941",1691935200,303.86,11,4.96,0,0,Clear,clear sky,0
"viirs_point_657445_2023-08-15 00:00:00_-13.66685,22.07941",1691938800,303.28,11,4.79,0,0,Clear,clear sky,0
"viirs_point_657445_2023-08-15 00:00:00_-13.66685,22.07941",1691942400,300.89,13,3.67,0,0,Clear,clear sky,0
"viirs_point_657445_2023-08-15 00:00:00_-13.66685,22.07941",1691946000,295.75,17,2.9,0,0,Clear,clear sky,0
"viirs_point_657445_2023-08-15 00:00:00_-13.66685,22.07941",1691949600,292.99,21,2.71,0,1,Clear,clear sky,0
"viirs_point_657445_2023-08-15 00:00:00_-13.66685,22.07941",1691953200,291.96,22,2.6,0,3,Clear,clear sky,0
"viirs_point_657445_2023-08-15 00:00:00_-13.66685,22.07941",1691956800,291.12,23,2.56,0,1,Clear,clear sky,0
"viirs_point_657445_2023-08-15 00:00:00_-13.66685,22.07941",1691960400,290.29,24,2.81,0,1,Clear,clear sky,0
"viirs_point_657445_2023-08-15 00:00:00_-13.66685,22.07941",1691964000,289.36,26,2.51,0,1,Clear,clear sky,0
"viirs_point_657445_2023-08-15 00:00:00_-13.66685,22.07941",1691967600,288.48,28,3.11,0,1,Clear,clear sky,0
"viirs_point_657445_2023-08-15 00:00:00_-13.66685,22.07941",1691971200,287.31,31,2.3,0,1,Clear,clear sky,0
"viirs_point_657445_2023-08-15 00:00:00_-13.66685,22.07941",1691974800,286.6,33,2.2,0,0,Clear,clear sky,0
"viirs_point_657445_2023-08-15 00:00:00_-13.66685,22.07941",1691978400,285.84,35,2.23,0,3,Clear,clear sky,0
"viirs_point_657445_2023-08-15 00:00:00_-13.66685,22.07941",1691982000,285.66,37,2.52,0,4,Clear,clear sky,0
"viirs_point_657445_2023-08-15 00:00:00_-13.66685,22.07941",1691985600,285.16,39,2.33,0,4,Clear,clear sky,0
"viirs_point_657445_2023-08-15 00:00:00_-13.66685,22.07941",1691989200,284.83,40,1.96,0,5,Clear,clear sky,0
"viirs_point_657445_2023-08-15 00:00:00_-13.66685,22.07941",1691992800,288.49,32,2.54,0,2,Clear,clear sky,0
"viirs_point_657445_2023-08-15 00:00:00_-13.66685,22.07941",1691996400,293.33,24,3.46,0,0,Clear,clear sky,0
"viirs_point_657445_2023-08-15 00:00:00_-13.66685,22.07941",1692000000,296.82,20,3.81,0,0,Clear,clear sky,0
"viirs_point_657445_2023-08-15 00:00:00_-13.66685,22.07941",1692003600,299.69,16,4.39,0,0,Clear,clear sky,0
"viirs_point_657445_2023-08-15 00:00:00_-13.66685,22.07941",1692007200,301.52,13,4.94,0,1,Clear,clear sky,0
"viirs_point_657445_2023-08-15 00:00:00_-13.66685,22.07941",1692010800,302.88,11,5.07,0,3,Clear,clear sky,0
"viirs_point_657445_2023-08-15 00:00:00_-13.66685,22.07941",1692014400,303.76,9,4.94,0,2,Clear,clear sky,0
