viirs_point,dt,temperature,humidity,wind_speed,rain,clouds,weather_main,weather_description,fire
"viirs_point_502215_2023-07-13 00:00:00_-5.84546,20.28694",1689076800,307.91,18,2.92,0,2,Clear,clear sky,0
"viirs_point_502215_2023-07-13 00:00:00_-5.84546,20.28694",1689080400,308.35,18,2.59,0,0,Clear,clear sky,0
"viirs_point_502215_2023-07-13 00:00:00_-5.84546,20.28694",1689084000,308.24,18,2.5,0,0,Clear,clear sky,0
"viirs_point_502215_2023-07-13 00:00:00_-5.84546,20.28694",1689087600,307.8,19,2.54,0,1,Clear,clear sky,0
"viirs_point_502215_2023-07-13 00:00:00_-5.84546,20.28694",1689091200,305.82,22,1.91,0,2,Clear,clear sky,0
"viirs_point_502215_2023-07-13 00:00:00_-5.84546,20.28694",1689094800,301.67,27,1.6,0,5,Clear,clear sky,0
"viirs_point_502215_2023-07-13 00:00:00_-5.84546,20.28694",1689098400,299.76,30,1.35,0,6,Clear,clear sky,0
"viirs_point_502215_2023-07-13 00:00:00_-5.84546,20.28694",1689102000,298.88,31,1.38,0,9,Clear,clear sky,0
"viirs_point_502215_2023-07-13 00:00:00_-5.84546,20.28694",1689105600,298.21,32,1.46,0,6,Clear,clear sky,0
"viirs_point_502215_2023-07-13 00:00:00_-5.84546,20.28694",1689109200,297.46,33,1.43,0,4,Clear,clear sky,0
"viirs_point_502215_2023-07-13 00:00:00_-5.84546,20.28694",1689112800,296.85,34,1.46,0,4,Clear,clear sky,0
"viirs_point_502215_2023-07-13 00:00:00_-5.84546,20.28694",1689116400,296.08,35,1.66,0,3,Clear,clear sky,0
"viirs_point_502215_2023-07-13 00:00:00_-5.84546,20.28694",1689120000,295.1,36,1.57,0,0,Clear,clear sky,0
"viirs_point_502215_2023-07-13 00:00:00_-5.84546,20.28694",1689123600,294.61,36,1.66,0,0,Clear,clear sky,0
"viirs_point_502215_2023-07-13 00:00:00_-5.84546,20.28694",1689127200,294.07,36,1.89,0,0,Clear,clear sky,0
"viirs_point_502215_2023-07-13 00:00:00_-5.84546,20.28694",1689130800,293.54,35,2,0,0,Clear,clear sky,0
"viirs_point_502215_2023-07-13 00:00:00_-5.84546,20.28694",1689134400,292.86,35,1.75,0,0,Clear,clear sky,0
"viirs_point_502215_2023-07-13 00:00:00_-5.84546,20.28694",1689138000,292.17,35,1.51,0,0,Clear,clear sky,0
"viirs_point_502215_2023-07-13 00:00:00_-5.84546,20.28694",1689141600,295.11,27,3.06,0,0,Clear,clear sky,0
"viirs_point_502215_2023-07-13 00:00:00_-5.84546,20.28694",1689145200,298.06,20,4.65,0,0,Clear,clear sky,0
"viirs_point_502215_2023-07-13 00:00:00_-5.84546,20.28694",1689148800,300.41,18,4.81,0,0,Clear,clear sky,0
"viirs_point_502215_2023-07-13 00:00:00_-5.84546,20.28694",1689152400,302.74,17,4.6,0,0,Clear,clear sky,0
"viirs_point_502215_2023-07-13 00:00:00_-5.84546,20.28694",1689156000,304.66,16,4.08,0,0,Clear,clear sky,0
"viirs_point_502215_2023-07-13 00:00:00_-5.84546,20.28694",1689159600,306.13,16,3.51,0,0,Clear,clear sky,0
