viirs_point,dt,temperature,humidity,wind_speed,rain,clouds,weather_main,weather_description,fire
"viirs_point_439445_2023-06-25 00:00:00_52.72489,-75.43545",1687543200,303.01,38,8.83,0,2,Clear,clear sky,0
"viirs_point_439445_2023-06-25 00:00:00_52.72489,-75.43545",1687546800,302.08,42,7.23,0,9,Clear,clear sky,0
"viirs_point_439445_2023-06-25 00:00:00_52.72489,-75.43545",1687550400,301.15,46,7.15,0,14,Clouds,few clouds,0
"viirs_point_439445_2023-06-25 00:00:00_52.72489,-75.43545",1687554000,299.4,53,6.46,0.13,43,Rain,light rain,0
"viirs_point_439445_2023-06-25 00:00:00_52.72489,-75.43545",1687557600,297.8,57,5.64,0,52,Clouds,broken clouds,0
"viirs_point_439445_2023-06-25 00:00:00_52.72489,-75.43545",1687561200,295.89,59,5.84,0,55,Clouds,broken clouds,0
"viirs_point_439445_2023-06-25 00:00:00_52.72489,-75.43545",1687564800,295.25,67,4.04,0.22,43,Rain,light rain,0
"viirs_point_439445_2023-06-25 00:00:00_52.72489,-75.43545",1687568400,293.75,68,3.78,0,80,Clouds,broken clouds,0
"viirs_point_439445_2023-06-25 00:00:00_52.72489,-75.43545",1687572000,292.99,67,3.92,0,90,Clouds,overcast clouds,0
"viirs_point_439445_2023-06-25 00:00:00_52.72489,-75.43545",1687575600,292.62,66,3.39,0,93,Clouds,overcast clouds,0
"viirs_point_439445_2023-06-25 00:00:00_52.72489,-75.43545",1687579200,292.28,66,2.66,0,95,Clouds,overcast clouds,0
"viirs_point_439445_2023-06-25 00:00:00_52.72489,-75.43545",1687582800,290.97,70,2.59,0,87,Clouds,overcast clouds,0
"viirs_point_439445_2023-06-25 00:00:00_52.72489,-75.43545",1687586400,289,77,2.93,0,81,Clouds,broken clouds,0
"viirs_point_439445_2023-06-25 00:00:00_52.72489,-75.43545",1687590000,287.63,81,2.97,0,70,Clouds,broken clouds,0
"viirs_point_439445_2023-06-25 00:00:00_52.72489,-75.43545",1687593600,286.78,84,2.67,0,62,Clouds,broken clouds,0
"viirs_point_439445_2023-06-25 00:00:00_52.72489,-75.43545",1687597200,286.16,88,2.87,0,49,Clouds,scattered clouds,0
"viirs_point_439445_2023-06-25 00:00:00_52.72489,-75.43545",1687600800,286.64,87,3.7,0,46,Clouds,scattered clouds,0
"viirs_point_439445_2023-06-25 00:00:00_52.72489,-75.43545",1687604400,287.23,83,4.79,0,53,Clouds,broken clouds,0
"viirs_point_439445_2023-06-25 00:00:00_52.72489,-75.43545",1687608000,288.76,71,4.41,0,44,Clouds,scattered clouds,0
"viirs_point_439445_2023-06-25 00:00:00_52.72489,-75.43545",1687611600,289.92,59,5.18,0,67,Clouds,broken clouds,0
"viirs_point_439445_2023-06-25 00:00:00_52.72489,-75.43545",1687615200,290.6,53,5.51,0,84,Clouds,broken clouds,0
"viirs_point_439445_2023-06-25 00:00:00_52.72489,-75.43545",1687618800,291.41,48,6.15,0,89,Clouds,overcast clouds,0
"viirs_point_439445_2023-06-25 00:00:00_52.72489,-75.43545",1687622400,291.86,42,6.3,0,92,Clouds,overcast clouds,0
"viirs_point_439445_2023-06-25 00:00:00_52.72489,-75.43545",1687626000,292.6,37,6.57,0,93,Clouds,overcast clouds,0
